Date,Time,Temperature,Relative Humidity,Absolute Humidity
2004-03-10,18:00:00,13.599999904633,48.875000953674,0.7577538251293606
2004-03-10,19:00:00,13.299999952316,47.699999809265,0.7254874492424674
2004-03-10,20:00:00,11.900000095367,53.97500038147,0.7502390673981953
2004-03-10,21:00:00,11.0,60.0,0.7867125330859253
2004-03-10,22:00:00,11.150000095367,59.575000762939,0.7887942318667593
2004-03-10,23:00:00,11.175000190735,59.175000190735,0.7847716643397448
2004-03-11,00:00:00,11.324999809265,56.77499961853,0.7603119392843289
2004-03-11,01:00:00,10.674999952316,60.0,0.7702384578230451
2004-03-11,02:00:00,10.650000095367,59.674999237061,0.7648187256861201
2004-03-11,03:00:00,10.250000238419,60.200000762939,0.7516571648306898
2004-03-11,04:00:00,10.075000047684,60.474999427795,0.7464945161292466
2004-03-11,05:00:00,10.999999761581,56.175000190735,0.7365596001806396
2004-03-11,06:00:00,10.450000047684,58.125,0.7352950830247281
2004-03-11,07:00:00,10.200000047684,59.599999427795,0.7417361628563275
2004-03-11,08:00:00,10.75,57.425000190735,0.7407945757399766
2004-03-11,09:00:00,10.5,60.599998474121,0.7691107927579083
2004-03-11,10:00:00,10.799999952316,58.35000038147,0.7551830826522904
2004-03-11,11:00:00,10.499999761581,57.925000190735,0.7351607796315153
2004-03-11,12:00:00,9.5249998569489,66.774998664856,0.7950537885142038
2004-03-11,13:00:00,8.299999833107,76.425001144409,0.8392680677502771
2004-03-11,14:00:00,8.0,81.14999961853,0.8735885336185425
2004-03-11,15:00:00,8.325000166893,79.799999237061,0.8777844450980445
2004-03-11,16:00:00,9.7000000476837,71.150001525879,0.8569381279436317
2004-03-11,17:00:00,9.7750000953674,67.624998092651,0.8185012074753434
2004-03-11,18:00:00,10.349999904633,64.174999237061,0.806543633173666
2004-03-11,19:00:00,9.6500000953674,69.300001144409,0.8319211444100879
2004-03-11,20:00:00,9.6499998569489,67.75,0.8133139353625914
2004-03-11,21:00:00,9.125,63.974999427795,0.7419242244892506
2004-03-11,22:00:00,8.1750001907349,63.39999961853,0.6904844466414399
2004-03-11,23:00:00,8.2499998807907,60.824998855591,0.6657443604063102
2004-03-12,00:00:00,8.3250002861023,58.525000572205,0.6437636096330573
2004-03-12,01:00:00,7.7250001430511,59.674999237061,0.6307660602738635
